"ROM address","bank","offset in bank","NES address","CDL byte repeat count","CDL byte","CDL byte description"
0,0,0,0,16,1,"rendered"
16,0,16,16,144,0,"unaccessed"
160,0,160,160,256,1,"rendered"
416,0,416,416,16,0,"unaccessed"
432,0,432,432,96,1,"rendered"
528,0,528,528,16,0,"unaccessed"
544,0,544,544,16,1,"rendered"
560,0,560,560,16,0,"unaccessed"
576,0,576,576,32,1,"rendered"
608,0,608,608,64,0,"unaccessed"
672,0,672,672,96,1,"rendered"
768,0,768,768,112,0,"unaccessed"
880,0,880,880,144,1,"rendered"
1024,0,1024,1024,128,0,"unaccessed"
1152,0,1152,1152,128,1,"rendered"
1280,0,1280,1280,128,0,"unaccessed"
1408,0,1408,1408,288,1,"rendered"
1696,0,1696,1696,64,0,"unaccessed"
1760,0,1760,1760,192,1,"rendered"
1952,0,1952,1952,64,0,"unaccessed"
2016,0,2016,2016,160,1,"rendered"
2176,0,2176,2176,32,0,"unaccessed"
2208,0,2208,2208,224,1,"rendered"
2432,0,2432,2432,32,0,"unaccessed"
2464,0,2464,2464,128,1,"rendered"
2592,0,2592,2592,32,0,"unaccessed"
2624,0,2624,2624,32,1,"rendered"
2656,0,2656,2656,96,0,"unaccessed"
2752,0,2752,2752,96,1,"rendered"
2848,0,2848,2848,32,0,"unaccessed"
2880,0,2880,2880,32,1,"rendered"
2912,0,2912,2912,96,0,"unaccessed"
3008,0,3008,3008,64,1,"rendered"
3072,0,3072,3072,32,0,"unaccessed"
3104,0,3104,3104,80,1,"rendered"
3184,0,3184,3184,32,0,"unaccessed"
3216,0,3216,3216,112,1,"rendered"
3328,0,3328,3328,32,0,"unaccessed"
3360,0,3360,3360,320,1,"rendered"
3680,0,3680,3680,64,0,"unaccessed"
3744,0,3744,3744,96,1,"rendered"
3840,0,3840,3840,2,0,"unaccessed"
3842,0,3842,3842,17,1,"rendered"
3859,0,3859,3859,1,0,"unaccessed"
3860,0,3860,3860,4332,1,"rendered"
8192,1,0,0,384,1,"rendered"
8576,1,384,384,16,0,"unaccessed"
8592,1,400,400,32,1,"rendered"
8624,1,432,432,16,0,"unaccessed"
8640,1,448,448,320,1,"rendered"
8960,1,768,768,16,0,"unaccessed"
8976,1,784,784,1344,1,"rendered"
10320,1,2128,2128,1008,0,"unaccessed"
11328,1,3136,3136,224,1,"rendered"
11552,1,3360,3360,16,0,"unaccessed"
11568,1,3376,3376,32,1,"rendered"
11600,1,3408,3408,16,0,"unaccessed"
11616,1,3424,3424,80,1,"rendered"
11696,1,3504,3504,16,0,"unaccessed"
11712,1,3520,3520,16,1,"rendered"
11728,1,3536,3536,16,0,"unaccessed"
11744,1,3552,3552,112,1,"rendered"
11856,1,3664,3664,16,0,"unaccessed"
11872,1,3680,3680,16,1,"rendered"
11888,1,3696,3696,16,0,"unaccessed"
11904,1,3712,3712,32,1,"rendered"
11936,1,3744,3744,16,0,"unaccessed"
11952,1,3760,3760,16,1,"rendered"
11968,1,3776,3776,16,0,"unaccessed"
11984,1,3792,3792,16,1,"rendered"
12000,1,3808,3808,16,0,"unaccessed"
12016,1,3824,3824,32,1,"rendered"
12048,1,3856,3856,16,0,"unaccessed"
12064,1,3872,3872,3104,1,"rendered"
15168,1,6976,6976,192,0,"unaccessed"
15360,1,7168,7168,256,1,"rendered"
15616,1,7424,7424,256,0,"unaccessed"
15872,1,7680,7680,384,1,"rendered"
16256,1,8064,8064,128,0,"unaccessed"
16384,2,0,0,3,0,"unaccessed"
16387,2,3,3,3,1,"rendered"
16390,2,6,6,5,0,"unaccessed"
16395,2,11,11,3,1,"rendered"
16398,2,14,14,130,0,"unaccessed"
16528,2,144,144,112,1,"rendered"
16640,2,256,256,144,0,"unaccessed"
16784,2,400,400,96,1,"rendered"
16880,2,496,496,160,0,"unaccessed"
17040,2,656,656,112,1,"rendered"
17152,2,768,768,224,0,"unaccessed"
17376,2,992,992,96,1,"rendered"
17472,2,1088,1088,192,0,"unaccessed"
17664,2,1280,1280,64,1,"rendered"
17728,2,1344,1344,192,0,"unaccessed"
17920,2,1536,1536,3824,1,"rendered"
21744,2,5360,5360,19,0,"unaccessed"
21763,2,5379,5379,1,1,"rendered"
21764,2,5380,5380,7,0,"unaccessed"
21771,2,5387,5387,1,1,"rendered"
21772,2,5388,5388,660,0,"unaccessed"
22432,2,6048,6048,80,1,"rendered"
22512,2,6128,6128,16,0,"unaccessed"
22528,2,6144,6144,2048,1,"rendered"
24576,3,0,0,7584,1,"rendered"
32160,3,7584,7584,80,0,"unaccessed"
32240,3,7664,7664,96,1,"rendered"
32336,3,7760,7760,160,0,"unaccessed"
32496,3,7920,7920,272,1,"rendered"
