"ROM address","bank","offset in bank","NES address","CDL byte repeat count","CDL byte","CDL byte description"
0,0,0,32768,52,0,"unaccessed"
52,0,52,32820,291,1,"code"
343,0,343,33111,2,0,"unaccessed"
345,0,345,33113,4,1,"code"
349,0,349,33117,2,0,"unaccessed"
351,0,351,33119,108,1,"code"
459,0,459,33227,2,0,"unaccessed"
461,0,461,33229,110,1,"code"
571,0,571,33339,13,0,"unaccessed"
584,0,584,33352,34,1,"code"
618,0,618,33386,13,0,"unaccessed"
631,0,631,33399,16,1,"code"
647,0,647,33415,2,0,"unaccessed"
649,0,649,33417,6,1,"code"
655,0,655,33423,66,0,"unaccessed"
721,0,721,33489,189,1,"code"
910,0,910,33678,37,0,"unaccessed"
947,0,947,33715,97,1,"code"
1044,0,1044,33812,3,0,"unaccessed"
1047,0,1047,33815,28,1,"code"
1075,0,1075,33843,3,0,"unaccessed"
1078,0,1078,33846,66,1,"code"
1144,0,1144,33912,3,0,"unaccessed"
1147,0,1147,33915,26,1,"code"
1173,0,1173,33941,1,0,"unaccessed"
1174,0,1174,33942,98,1,"code"
1272,0,1272,34040,21,0,"unaccessed"
1293,0,1293,34061,65,1,"code"
1358,0,1358,34126,13,0,"unaccessed"
1371,0,1371,34139,3,1,"code"
1374,0,1374,34142,83,0,"unaccessed"
1457,0,1457,34225,124,1,"code"
1581,0,1581,34349,37,0,"unaccessed"
1618,0,1618,34386,47,1,"code"
1665,0,1665,34433,33,0,"unaccessed"
1698,0,1698,34466,246,1,"code"
1944,0,1944,34712,2,0,"unaccessed"
1946,0,1946,34714,364,1,"code"
2310,0,2310,35078,27,0,"unaccessed"
2337,0,2337,35105,4,1,"code"
2341,0,2341,35109,11,0,"unaccessed"
2352,0,2352,35120,3,1,"code"
2355,0,2355,35123,1,0,"unaccessed"
2356,0,2356,35124,5,1,"code"
2361,0,2361,35129,2,0,"unaccessed"
2363,0,2363,35131,15,1,"code"
2378,0,2378,35146,17,0,"unaccessed"
2395,0,2395,35163,16,2,"data"
2411,0,2411,35179,1,0,"unaccessed"
2412,0,2412,35180,8,2,"data"
2420,0,2420,35188,1,0,"unaccessed"
2421,0,2421,35189,7,2,"data"
2428,0,2428,35196,1,0,"unaccessed"
2429,0,2429,35197,9,2,"data"
2438,0,2438,35206,1,0,"unaccessed"
2439,0,2439,35207,1,2,"data"
2440,0,2440,35208,15,0,"unaccessed"
